Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time,Dist,Track Cond,High,Low,24-Hour Precipitation,1pm-7pm Precipitation,Weather
1974,Cannonade,Bold Bidder,Queen Sucree,Hudson County,Agitate,02:04.0,10 F,Fast,66,44,0,0,Partly Cloudy
1973,Secretariat,Bold Ruler,Somethingroyal,Sham,Our Native,01:59.4,10 F,Fast,67,39,0,0,Partly Cloudy
1972,Riva Ridge,First Landing,Iberia,No Le Hace,Hold Your Peace,02:01.8,10 F,Fast,81,51,0,0,Partly Cloudy
1971,Canonero,Pretendre,Dixieland,Jim French,Bold Reason,02:03.2,10 F,Fast,73,37,"0.01""",0,Partly Cloudy
1970,Dust Commander,Bold Commander,Dust Storm,My Dad George,High Echelon,02:03.4,10 F,Good,64,48,"0.28""",0,Partly Cloudy
1969,Majestic Prince,Raise A Native,Gay Hostess,Arts And Letters,Dike,02:01.8,10 F,Fast,81,53,0,0,Partly Cloudy
1968,Forward Pass,On-And-On,Princess Turia,Francies Hat,T V Commercial,02:02.2,10 F,Fast,72,56,0,0,Partly Cloudy
1967,Proud Clarion,Hail To Reason,Breath Omorn,Barbs Delight,Damascus,02:00.6,10 F,Fast,63,57,"0.78""","0.31""",Thunderstorms
1966,Kauai King,Native Dancer,Sweep In,Advocator,Blue Skyer,02:02.0,10 F,Fast,80,46,0,0,Partly Cloudy
1965,Lucky Debonair,Vertex,Fresh As Fresh,Dapper Dan,Tom Rolfe,02:01.2,10 F,Fast,84,60,0,0,Clear
1964,Northern Dancer,Nearctic,Natalma,Hill Rise,The Scoundrel,02:00.0,10 F,Fast,76,49,0,0,Cloudy
1963,Chateaugay,Swaps,Banquet Bell,Never Bend,Candy Spots,02:01.8,10 F,Fast,80,49,0,0,Partly Cloudy
1962,Decidedly,Determine,Gloire Fille,Roman Line,Ridan,02:00.4,10 F,Fast,81,47,0,0,Partly Cloudy
1961,Carry Back,Saggy,Joppy,Crozier,Bass Clef,02:04.0,10 F,Good,81,52,"0.25""",Trace,Thunderstorms
1960,Venetian Way,Royal Coinage,Firefly,Bally Ache,Victoria Park,02:02.4,10 F,Good,64,40,"0.20""",0,Partly Cloudy
1959,Tomy Lee,Tudor Minstrel,Auld Alliance,Sword Dancer,First Landing,02:02.2,10 F,Fast,94,58,0,0,Partly Cloudy
1958,Tim Tam,Tom Fool,Two Lea,Lincoln Road,Noureddin,02:05.0,10 F,Muddy,86,64,"0.11""",0,Partly Cloudy
1957,Iron Liege,Bull Lea,Iron Maiden,Gallant Man,Round Table,02:02.2,10 F,Fast,47,36,0,0,Cloudy
1956,Needles,Ponder,Noodle Soup,Fabius,Come On Red,02:03.4,10 F,Fast,82,48,0,0,Clear
1955,Swaps,Khaled,Iron Reward,Nashua,Summer Tan,02:01.8,10 F,Fast,85,57,"0.01""","0.01""",Thunderstorms
1954,Determine,Alibhai,Koubis,Hasty Road,Hasseyampa,02:03.0,10 F,Fast,84,66,"0.15""","0.01""",Thunderstorms
1953,Dark Star,Royal Gem,Isolde,Native Dancer,Invigorator,02:02.0,10 F,Fast,76,55,0,0,Clear
1952,Hill Gail,Bull Lea,Jane Gail,Sub Fleet,Blue Man,02:01.6,10 F,Fast,79,55,0,0,Clear
1951,Count Turf,Count Fleet,Delmarie,Royal Mustang,Ruhe,02:02.6,10 F,Fast,67,51,"0.02""",0,partly Cloudy
1950,Middleground,Bold Venture,Verguenza,Hill Prince,Mr Trouble,02:01.6,10 F,Fast,70,51,"0.11""",0,Thunderstorms
1949,Ponder,Pensive,Miss Rushin,Capot,Palestinian,02:04.2,10 F,Fast,75,57,0,0,Partly Cloudy
1948,Citation,Bull Lea,Hydroplane2,Coaltown,My Request,02:05.4,10 F,Sloppy,72,51,"0.80""",Trace,Thunderstorms
1947,Jet Pilot,Blenheim,Black Wave,Phalanx,Faultless,02:06.8,10 F,Slow,57,47,"0.02""",0,Cloudy
1946,Assault,Bold Venture,Igual,Spy Song,Hampden,02:06.6,10 F,Slow,68,45,"0.01""",Trace,Cloudy
1945,Hoop Jr,Sir Gallahad,One Hour,Pot O Luck,Darby Dieppe,02:07.0,10 F,Muddy,77,63,"0.50""","0.03""",Thunderstorms
1944,Pensive,Hyperion,Penicuik,Broadcloth,Stir Up,02:04.2,10 F,Good,51,40,0,0,Partly Cloudy
1943,Count Fleet,Reigh Count,Quickly,Blue Swords,Slide Rule,02:04.0,10 F,Fast,58,39,0,0,Clear
1942,Shut Out,Equipoise,Goose Egg,Alsab,Valdina Orphan,02:04.4,10 F,Fast,87,67,0,0,Partly Cloudy
1941,Whirlaway,Blenheim,Dustwhirl,Staretor,Market Wise,02:01.4,10 F,Fast,76,54,0,0,Partly Cloudy
1940,Gallahadion,Sir Gallahad,Countess Time,Bimelech,Dit,02:05.0,10 F,Fast,62,36,0,0,Clear
1939,Johnstown,Jamestown,La France,Challedon,Heather Broom,02:03.4,10 F,Fast,83,56,0,0,Clear
1938,Lawrin,Insco,Margaret Lawrence,Dauber,Cant Wait,02:04.8,10 F,Fast,80,57,0,0,Partly Cloudy
1937,War Admiral,Man O War,Brushup,Pompoon,Reaping Reward,02:03.2,10 F,Fast,71,48,0,0,Clear
1936,Bold Venture,St Germans,Possible,Brevity,Indian Broom,02:03.6,10 F,Fast,78,64,"0.34""",0,Thunderstorms
